ABA1, ABA1, 52.88840, 1.14530, 74.0
ABAR, ABAR, 16.94200, 42.93900, 135.0
ABAZ, ABAZ, -36.60022, 174.83234, 74.0
ABB, ABB, 57.84500, 12.78600, 239.0
ABC, ABC, 13.82720, 20.84440, 550.0
ABD, ABD, 16.47430, -61.48810, 12.0
ABE, ABE, 57.16670, -2.10000, 12.0
ABEM, ABEM, -37.71936, 146.38900, 548.8
ABF, ABF, 58.38130, -134.64300, 3.0
ABG, ABG, 40.11670, -75.13330, 0
ABG1, ABG1, 50.96530, 12.57210, 203.0
ABGF, ABGF, 16.03233, -61.66033, 1150.0
ABH, ABH, 49.88170, 7.54750, 620.0
ABHA, ABHA, 18.25000, 42.75000, 2200.0
ABI, ABI, 30.15200, 79.20840, 1595.0
ABJ, ABJ, 44.01500, 144.28300, 38.0
ABJ2, ABJ2, 43.84167, 143.87000, 180.0
ABJI, ABJI, -7.79570, 114.23420, 0.0
ABJM, ABJM, 39.16530, -121.19100, 457.0
ABK, ABK, 68.34170, 18.81670, 385.0
ABKAR, ABKAR, 49.25560, 59.94310, 243.0
ABKT, ABKT, 37.93040, 58.11890, 678.0
ABL, ABL, 34.85080, -119.22100, 1981.0
ABM, ABM, -19.78100, 47.36500, 1843.0
ABMC, ABMC, 40.68600, -75.05400, 170.0
ABMS, ABMS, 36.75000, 3.48000, 97.0
ABN, ABN, 40.39110, -95.85060, 294.0
ABNR, ABNR, 53.72500, 91.43500, 125.0
ABOA, ABOA, -73.05000, -13.41667, 200.0
ABP, ABP, 13.44400, 120.72700, 0
ABPO, ABPO, -19.01739, 47.22747, 1528.0
ABQ, ALQ, 34.94250, -106.45700, 1849.0
ABR, ABR, 19.80700, -96.53450, 520.0
ABRA, ABRA, 17.64900, 120.71200, 50.0
ABRE, ABRE, 40.50081, 15.76011, 1542.0
ABRM, ABRM, 39.13520, -121.48700, 24.0
ABRN, ABRN, 42.99630, -76.48530, 224.0
ABS, ABS, 41.75547, 42.81339, 1590.0
ABSA, ABSA, 36.27333, 7.47778, 1025.0
ABSE, ABSE, 14.88467, 39.32717, 2392.0
ABSI, ABSI, 46.72850, 11.32050, 1801.0
ABT, ABT, 40.60580, 31.32080, 1794.0
ABTA, ABTA, 46.74740, 12.51230, 1041.0
ABTN, ABTN, 35.88550, -86.10900, 363.0
ABTO, ABTO, 17.35380, 53.29660, 650.0
